Group,FilePath
3,Data/107/150012/10006234/10006234.pdf
3,Data/107/150012/10032106/10032106.pdf
3,Data/107/150012/10033625/10033625.pdf
3,Data/107/150012/10038025/10038025.pdf
3,Data/107/150012/10039115/10039115.pdf
3,Data/107/150012/10044016/10044016.pdf
3,Data/107/150012/10044933/10044933.pdf
3,Data/107/150012/10048940/10048940.pdf
3,Data/107/150012/10053606/10053606.pdf
3,Data/107/150012/10053841/10053841.pdf
4,Data/107/150012/10054112/10054112.pdf
3,Data/107/150012/10056829/10056829.pdf
3,Data/107/150012/10059203/10059203.pdf
1,Data/107/150012/10080517/10080517.pdf
7,Data/107/150012/10091935/10091935.pdf
14,Data/107/150012/10113403/10113403.pdf
6,Data/107/150012/10115539/10115539.pdf
6,Data/107/150012/10119140/10119140.pdf
14,Data/107/150012/10120441/10120441.pdf
18,Data/107/150012/10123740/10123740.pdf
9,Data/107/150012/10129411/10129411.pdf
9,Data/107/150012/10130814/10130814.pdf
6,Data/107/150012/10132505/10132505.pdf
11,Data/107/150012/10135338/10135338.pdf
18,Data/107/150012/10135927/10135927.pdf
4,Data/107/150012/10138734/10138734.pdf
2,Data/107/150012/10146434/10146434.pdf
15,Data/107/150012/10149424/10149424.pdf
18,Data/107/150012/10153706/10153706.pdf
6,Data/107/150012/10188301/10188301.pdf
18,Data/107/150012/10212007/10212007.pdf
10,Data/107/150012/10232314/10232314.pdf
6,Data/107/150012/10317116/10317116.pdf
6,Data/107/150012/10317229/10317229.pdf
6,Data/107/150012/10317439/10317439.pdf
9,Data/107/150012/10318641/10318641.pdf
14,Data/107/150012/10321035/10321035.pdf
3,Data/107/150022/10005136/10005136.pdf
3,Data/107/150022/10009309/10009309.pdf
3,Data/107/150022/10009719/10009719.pdf
3,Data/107/150022/10009833/10009833.pdf
7,Data/107/150022/10015708/10015708.pdf
3,Data/107/150022/10020639/10020639.pdf
3,Data/107/150022/10021001/10021001.pdf
3,Data/107/150022/10021320/10021320.pdf
11,Data/107/150022/10023027/10023027.pdf
3,Data/107/150022/10026632/10026632.pdf
3,Data/107/150022/10027123/10027123.pdf
3,Data/107/150022/10028530/10028530.pdf
3,Data/107/150022/10031013/10031013.pdf
3,Data/107/150022/10032401/10032401.pdf
3,Data/107/150022/10034341/10034341.pdf
3,Data/107/150022/10035811/10035811.pdf
3,Data/107/150022/10036723/10036723.pdf
3,Data/107/150022/10043809/10043809.pdf
3,Data/107/150022/10044811/10044811.pdf
3,Data/107/150022/10048538/10048538.pdf
3,Data/107/150022/10055623/10055623.pdf
11,Data/107/150022/10056924/10056924.pdf
6,Data/107/150022/10058833/10058833.pdf
6,Data/107/150022/10059828/10059828.pdf
6,Data/107/150022/10061116/10061116.pdf
1,Data/107/150022/10063014/10063014.pdf
1,Data/107/150022/10063418/10063418.pdf
6,Data/107/150022/10064127/10064127.pdf
